date,High_price,Low_price,Close_price,Open_price,group_volume,group_turnover,trading_session,return,y1,y2,target1,target2,group_time
2024/11/5 14:40,4063.6,4050,4063.2,4060.8,3617,4402110300,Day_afternoon,0.0014788524105293632,1,1,1,1,10
2024/11/5 14:50,4068.8,4059,4060.8,4068,3715,4529206500,Day_afternoon,-0.000590667,0,0,0,0,10
2024/11/5 15:00,4068,4068,4068,4068,5,6102060,Day_afternoon,0.0017730496453900457,1,1,0,0,10
2024/11/6 9:20,4060,4060,4060,4060,0,0,Day_morning,-0.001966568,0,0,1,1,10
2024/11/6 9:30,4078.2,4057,4059,4061.2,10853,13246233180,Day_morning,-0.000246305,0,0,1,1,10
2024/11/6 9:40,4066.4,4042.4,4061.2,4061.6,8445,10277793540,Day_morning,0.0005420054200542257,1,1,1,1,10
2024/11/6 9:50,4071.4,4057.2,4062,4071.2,3712,4528473660,Day_morning,0.0001969861124790917,1,1,1,1,10
2024/11/6 10:00,4111,4070.4,4071.2,4101,10008,12288079200,Day_morning,0.0022648941408172085,1,1,0,0,10
2024/11/6 10:10,4112.8,4088,4100.8,4092,7154,8794583340,Day_morning,0.007270583611711734,1,1,0,0,10
2024/11/6 10:20,4094,4078,4091.8,4089.4,4300,5270063820,Day_morning,-0.002194694,0,0,0,0,10
2024/11/6 10:30,4090,4066.8,4089.2,4071.8,4908,5999957940,Day_morning,-0.000635417,0,0,1,1,10
2024/11/6 10:40,4085.4,4071,4071.4,4083.4,3286,4020735840,Day_morning,-0.00435293,0,0,0,0,10
2024/11/6 10:50,4088.2,4073.4,4083.4,4074.6,2453,3003288660,Day_morning,0.0029473891044848877,1,1,0,0,10
2024/11/6 11:00,4074.8,4032.6,4074,4045,8930,10853127600,Day_morning,-0.002302003,0,0,0,0,10
2024/11/6 11:10,4045.6,4026,4045,4042,6716,8129282580,Day_morning,-0.007118311,0,0,1,1,10
2024/11/6 11:20,4059.8,4038,4042.4,4058.8,4488,5455640760,Day_morning,-0.000642769,0,0,0,0,10
2024/11/6 11:30,4058.4,4058.4,4058.4,4058.4,1,1217520,Day_morning,0.00395804472590533,1,1,1,1,10
2024/11/6 13:30,4051.2,4037.6,4040,4050,1954,2371745220,Day_afternoon,-0.004533806,0,0,1,1,10
2024/11/6 13:40,4073.6,4049.4,4050,4072.6,4270,5204328000,Day_afternoon,0.0024752475247524774,1,1,0,0,10
2024/11/6 13:50,4076.8,4064.2,4072.8,4064.2,4029,4920454500,Day_afternoon,0.005629629629629651,1,1,1,1,10
2024/11/6 14:00,4073.2,4058,4063,4066.6,3194,3896052840,Day_afternoon,-0.002406207,0,0,0,0,10
2024/11/6 14:10,4074.2,4063,4067,4063.8,1941,2369413440,Day_afternoon,0.0009844942160965875,1,1,0,0,10
2024/11/6 14:20,4068.4,4045.2,4063.2,4045.2,3262,3967729020,Day_afternoon,-0.00093435,0,0,0,0,10
2024/11/6 14:30,4048.2,4033.8,4045.6,4042,4115,4988350680,Day_afternoon,-0.004331561,0,0,0,0,10
2024/11/6 14:40,4042,4011.2,4041.6,4032,7840,9466083960,Day_afternoon,-0.000988728,0,0,1,1,10
2024/11/6 14:50,4045.8,4030.2,4032,4041.8,4531,5491101900,Day_afternoon,-0.002375297,0,0,0,0,10
2024/11/6 15:00,4040.8,4040.8,4040.8,4040.8,2,2424480,Day_afternoon,0.002182539682539675,1,1,0,0,10
2024/11/7 9:20,4020,4020,4020,4020,0,0,Day_morning,-0.005147496,0,0,1,1,10
2024/11/7 9:30,4042.6,4014.4,4020,4030.6,12198,14747131380,Day_morning,0,0,0,1,1,10
2024/11/7 9:40,4054,4027.6,4030.2,4054,5836,7071332880,Day_morning,0.002537313432835697,1,1,0,0,10
2024/11/7 9:50,4055.6,4039.2,4054,4048,4402,5342838000,Day_morning,0.005905414123368535,1,1,1,1,10
2024/11/7 10:00,4070,4047.8,4047.8,4061.4,6486,7902900660,Day_morning,-0.001529354,0,0,1,1,10
2024/11/7 10:10,4077.2,4054,4061.4,4070.6,5185,6323298540,Day_morning,0.003359849794950298,1,1,0,0,10
2024/11/7 10:20,4071.8,4051.4,4070.4,4052.2,4402,5362212600,Day_morning,0.0022159846358398294,1,1,1,1,10
2024/11/7 10:30,4061.2,4047.4,4052.2,4059.6,4744,5769685680,Day_morning,-0.004471305,0,0,1,1,10
2024/11/7 10:40,4064.8,4054.2,4059.6,4061.4,2614,3183641820,Day_morning,0.0018261685010612094,1,1,1,1,10
2024/11/7 10:50,4076.2,4060.8,4061.4,4071.6,3507,4280419260,Day_morning,0.0004433934377772175,1,1,0,0,10
2024/11/7 11:00,4079,4063.8,4071.6,4070.6,3564,4352716440,Day_morning,0.0025114492539517475,1,1,1,1,10
2024/11/7 11:10,4075.6,4069,4070.6,4072.4,2332,2849195820,Day_morning,-0.000245604,0,0,1,1,10
2024/11/7 11:20,4074.4,4064,4072.4,4073.6,2346,2863484040,Day_morning,0.0004421952537709828,1,1,1,1,10
2024/11/7 11:30,4073.6,4073.6,4073.6,4073.6,0,0,Day_morning,0.0002946665357037581,1,1,1,1,10
2024/11/7 13:30,4090.8,4081,4081.2,4089.6,2748,3367535760,Day_afternoon,0.001865671641791078,1,1,1,1,10
2024/11/7 13:40,4113.6,4087.8,4089.6,4109.2,6875,8463018480,Day_afternoon,0.0020582181711261693,1,1,1,1,10
2024/11/7 13:50,4131.8,4104.8,4109.2,4130.8,7119,8795152980,Day_afternoon,0.004792644757433573,1,1,0,0,10
2024/11/7 14:00,4140.8,4115.8,4130.8,4122.2,10025,12420040980,Day_afternoon,0.005256497615107714,1,1,1,1,10
2024/11/7 14:10,4136,4120,4122,4133.2,4413,5466025440,Day_afternoon,-0.002130338,0,0,1,1,10
2024/11/7 14:20,4146,4131.2,4133.2,4139,4703,5841516180,Day_afternoon,0.0027171276079571705,1,1,1,1,10
2024/11/7 14:30,4164.2,4135.2,4139,4160.8,5343,6652995300,Day_afternoon,0.001403271073260548,1,1,1,1,10
2024/11/7 14:40,4173.2,4151.8,4160.8,4171.6,5813,2.01322E+11,Day_afternoon,0.005266972698719563,1,1,1,1,10
2024/11/7 14:50,4185,4166.6,4171.4,4183.8,6887,1276311594776.0,Day_afternoon,0.002547587002499352,1,1,1,1,10
2024/11/7 15:00,4183.8,4183.8,4183.8,4183.8,0,0,Day_afternoon,0.0029726231001583336,1,1,1,1,10
2024/11/8 9:20,4215.2,4215.2,4215.2,4215.2,0,0,Day_morning,0.00750513886897064,1,1,0,0,10
2024/11/8 9:30,4230,4184.8,4216.2,4190.4,21073,26577639480,Day_morning,0.00023723666729935644,1,1,0,0,10
2024/11/8 9:40,4190.4,4168.2,4190.4,4181.6,10747,13473764460,Day_morning,-0.006119254,0,0,0,0,10
2024/11/8 9:50,4196,4177.4,4181.2,4181.8,7261,9121733160,Day_morning,-0.002195494,0,0,1,1,10
2024/11/8 10:00,4190.4,4172.4,4181,4187.4,4534,5687962680,Day_morning,-4.78E-05,0,0,0,0,10
2024/11/8 10:10,4187.6,4163.2,4187.4,4180,5213,6527372220,Day_morning,0.001530734274097112,1,1,0,0,10
2024/11/8 10:20,4185,4169.2,4179.8,4171.8,3190,3997392540,Day_morning,-0.001814969,0,0,0,0,10
2024/11/8 10:30,4180.8,4156.2,4171.8,4157.6,4720,5900603160,Day_morning,-0.001913967,0,0,0,0,10
2024/11/8 10:40,4163.8,4142.2,4156.8,4149,8003,9967409340,Day_morning,-0.00359557,0,0,1,1,10
2024/11/8 10:50,4164.6,4145.2,4149,4154.8,4484,5591578620,Day_morning,-0.001876443,0,0,0,0,10
2024/11/8 11:00,4163.8,4139.6,4154.6,4144,4495,5597219580,Day_morning,0.0013497228247771886,1,1,0,0,10
2024/11/8 11:10,4157.2,4133,4144,4133,5307,6598913400,Day_morning,-0.002551389,0,0,0,0,10
2024/11/8 11:20,4141.2,4123,4133.8,4124.8,6112,7574278920,Day_morning,-0.00246139,0,0,1,1,10
2024/11/8 11:30,4125,4125,4125,4125,1,1237500,Day_morning,-0.002128792,0,0,1,1,10
2024/11/8 13:30,4158,4144.4,4146.6,4153.6,3748,4669031340,Day_afternoon,0.005236363636363706,1,1,0,0,10
